viscosity
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0.499578011
0.00468412
0.005227485
0.005984575
0.007060914
0.008640006
0.010922155
0.01388692
0.017093353
0.02012415
0.022573292
0.514173915
1
1
1
1
1
1
1
